x_final,y_final,x,y,theta,input
-0.57,-0.866,0,0,0,0.99976916
-0.57,-0.866,0.026278154,0.000345289,0.026278021,0.999875521
-0.57,-0.866,0.052538162,0.001380931,0.05255714,0.999852687
-0.57,-0.866,0.078761891,0.003106217,0.078835538,0.999820615
-0.57,-0.866,0.104931235,0.005519932,0.10511288,0.999772382
-0.57,-0.866,0.131028129,0.008620373,0.13138853,0.99969186
-0.57,-0.866,0.157034565,0.012405336,0.157661006,0.999530833
-0.57,-0.866,0.182932617,0.01687206,0.183925062,0.999051106
-0.57,-0.866,0.20872796,0.021904674,0.201429905,0.332992359
-0.57,-0.866,0.234501773,0.027050269,0.192677118,-0.999041887
-0.57,-0.866,0.26035974,0.031743482,0.166413241,-0.999526506
-0.57,-0.866,0.286332053,0.035755913,0.14014086,-0.999688918
-0.57,-0.866,0.312400812,0.039084642,0.113865277,-0.999770192
-0.57,-0.866,0.338548028,0.041727306,0.087587987,-0.9998189
-0.57,-0.866,0.364755652,0.043682046,0.06130963,-0.999851297
-0.57,-0.866,0.39100559,0.044947486,0.035030544,-0.999874366
-0.57,-0.866,0.417279716,0.045522738,0.008750929,-0.999891603
-0.57,-0.866,0.443559884,0.045407392,-0.017529088,-0.999904954
-0.57,-0.866,0.469827947,0.044601517,-0.043809421,-0.999915585
-0.57,-0.866,0.496065763,0.043105663,-0.070090007,-0.99992424
-0.57,-0.866,0.522255211,0.040920858,-0.0963708,-0.999931414
-0.57,-0.866,0.548378203,0.038048604,-0.122651768,-0.99993745
-0.57,-0.866,0.574416698,0.034490882,-0.148932882,-0.999942594
-0.57,-0.866,0.600352709,0.030250145,-0.175214122,-0.999947025
-0.57,-0.866,0.626168325,0.025329319,-0.201495471,-0.999950877
-0.57,-0.866,0.651845715,0.0197318,-0.227776916,-0.999954254
-0.57,-0.866,0.677367143,0.013461451,-0.254058443,-0.999957236
-0.57,-0.866,0.702714982,0.006522603,-0.280340045,-0.999959885
-0.57,-0.866,0.727871724,-0.001079956,-0.306621712,-0.999962253
-0.57,-0.866,0.752819993,-0.009340975,-0.332903439,-0.99996438
-0.57,-0.866,0.777542557,-0.018254749,-0.359185219,-0.999966299
-0.57,-0.866,0.80202234,-0.027815124,-0.385467047,-0.999968039
-0.57,-0.866,0.826242434,-0.038015497,-0.411748918,-0.999969621
-0.57,-0.866,0.850186109,-0.048848825,-0.438030829,-0.999971066
-0.57,-0.866,0.873836827,-0.060307624,-0.464312777,-0.999972389
-0.57,-0.866,0.897178252,-0.072383982,-0.490594758,-0.999973605
-0.57,-0.866,0.920194262,-0.085069558,-0.51687677,-0.999974724
-0.57,-0.866,0.942868959,-0.098355591,-0.54315881,-0.999975758
-0.57,-0.866,0.965186682,-0.112232904,-0.569440876,-0.999976715
-0.57,-0.866,0.987132014,-0.126691913,-0.595722967,-0.999977602
-0.57,-0.866,1.008689797,-0.141722632,-0.622005079,-0.999978428
-0.57,-0.866,1.029845142,-0.157314679,-0.648287213,-0.999979196
-0.57,-0.866,1.050583436,-0.173457285,-0.674569367,-0.999979913
-0.57,-0.866,1.070890354,-0.1901393,-0.700851538,-0.999980583
-0.57,-0.866,1.090751869,-0.207349203,-0.727133727,-0.99998121
-0.57,-0.866,1.110154263,-0.225075107,-0.753415932,-0.999981797
-0.57,-0.866,1.129084134,-0.243304768,-0.779698151,-0.999982349
-0.57,-0.866,1.147528407,-0.262025595,-0.805980385,-0.999982867
-0.57,-0.866,1.165474341,-0.281224657,-0.832262632,-0.999983355
-0.57,-0.866,1.18290954,-0.300888695,-0.858544891,-0.999983815
-0.57,-0.866,1.199821963,-0.321004125,-0.884827162,-0.999984248
-0.57,-0.866,1.216199926,-0.341557053,-0.911109444,-0.999984657
-0.57,-0.866,1.232032117,-0.362533285,-0.937391737,-0.999985043
-0.57,-0.866,1.2473076,-0.38391833,-0.963674039,-0.999985408
-0.57,-0.866,1.262015824,-0.405697419,-0.989956351,-0.999985754
-0.57,-0.866,1.276146629,-0.427855507,-1.016238672,-0.999986081
-0.57,-0.866,1.289690255,-0.450377291,-1.042521001,-0.999986391
-0.57,-0.866,1.302637347,-0.473247214,-1.068803338,-0.999986685
-0.57,-0.866,1.314978961,-0.496449479,-1.095085682,-0.999986965
-0.57,-0.866,1.326706573,-0.51996806,-1.121368034,-0.999987229
-0.57,-0.866,1.337812083,-0.543786712,-1.147650392,-0.999987481
-0.57,-0.866,1.348287818,-0.567888984,-1.173932757,-0.99998772
-0.57,-0.866,1.358126544,-0.592258228,-1.200215128,-0.999987947
-0.57,-0.866,1.367321464,-0.61687761,-1.226497505,-0.999988163
-0.57,-0.866,1.375866227,-0.641730127,-1.252779887,-0.999988369
-0.57,-0.866,1.383754931,-0.666798611,-1.279062275,-0.999988564
-0.57,-0.866,1.390982127,-0.692065747,-1.305344668,-0.99998875
-0.57,-0.866,1.397542822,-0.717514084,-1.331627065,-0.999988927
-0.57,-0.866,1.403432485,-0.743126042,-1.357909467,-0.999989096
-0.57,-0.866,1.408647047,-0.768883932,-1.384191873,-0.999989256
-0.57,-0.866,1.413182908,-0.794769962,-1.410474284,-0.999989409
-0.57,-0.866,1.417036932,-0.820766251,-1.436756698,-0.999989554
-0.57,-0.866,1.420206459,-0.846854843,-1.463039116,-0.999989692
-0.57,-0.866,1.422689299,-0.873017718,-1.489321537,-0.999989823
-0.57,-0.866,1.424483737,-0.899236806,-1.515603962,-0.999989948
-0.57,-0.866,1.425588534,-0.925493995,-1.54188639,-0.999990066
-0.57,-0.866,1.426002925,-0.951771149,-1.568168822,-0.999990179
-0.57,-0.866,1.425726625,-0.978050118,-1.594451256,-0.999990286
-0.57,-0.866,1.424759825,-1.00431275,-1.620733692,-0.999990387
-0.57,-0.866,1.423103193,-1.030540905,-1.647016132,-0.999990483
-0.57,-0.866,1.420757871,-1.056716466,-1.673298574,-0.999990574
-0.57,-0.866,1.417725482,-1.082821354,-1.699581018,-0.99999066
-0.57,-0.866,1.414008118,-1.108837537,-1.725863464,-0.999990742
-0.57,-0.866,1.409608348,-1.134747044,-1.752145913,-0.999990818
-0.57,-0.866,1.404529211,-1.16053198,-1.778428363,-0.999990891
-0.57,-0.866,1.398774214,-1.186174534,-1.804710815,-0.999990958
-0.57,-0.866,1.392347333,-1.211656993,-1.830993269,-0.999991022
-0.57,-0.866,1.385253008,-1.236961758,-1.857275725,-0.999991082
-0.57,-0.866,1.377496138,-1.262071348,-1.883558182,-0.999991137
-0.57,-0.866,1.369082081,-1.28696842,-1.90984064,-0.999991189
-0.57,-0.866,1.360016649,-1.311635776,-1.9361231,-0.999991236
-0.57,-0.866,1.350306103,-1.336056379,-1.962405561,-0.99999128
-0.57,-0.866,1.339957152,-1.360213361,-1.988688023,-0.999991321
-0.57,-0.866,1.328976943,-1.384090035,-2.014970486,-0.999991358
-0.57,-0.866,1.31737306,-1.407669909,-2.04125295,-0.999991391
-0.57,-0.866,1.305153519,-1.430936696,-2.067535415,-0.999991421
-0.57,-0.866,1.292326761,-1.453874324,-2.093817881,-0.999991447
-0.57,-0.866,1.278901644,-1.476466951,-2.120100347,-0.99999147
-0.57,-0.866,1.264887442,-1.498698971,-2.146382814,-0.99999149
-0.57,-0.866,1.250293835,-1.520555027,-2.172665281,-0.999991506
-0.57,-0.866,1.235130903,-1.542020023,-2.198947749,-0.999991519
-0.57,-0.866,1.21940912,-1.563079132,-2.225230217,-0.999991529
-0.57,-0.866,1.203139345,-1.583717808,-2.251512685,-0.999991535
-0.57,-0.866,1.186332816,-1.603921796,-2.277795154,-0.999991538
-0.57,-0.866,1.169001142,-1.623677141,-2.304077622,-0.999991538
-0.57,-0.866,1.151156294,-1.642970195,-2.33036009,-0.999991535
-0.57,-0.866,1.132810598,-1.661787634,-2.356642558,-0.999991528
-0.57,-0.866,1.113976727,-1.680116459,-2.382925026,-0.999991519
-0.57,-0.866,1.094667689,-1.697944011,-2.409207494,-0.999991506
-0.57,-0.866,1.074896821,-1.715257974,-2.435489961,-0.999991489
-0.57,-0.866,1.05467778,-1.732046391,-2.461772428,-0.99999147
-0.57,-0.866,1.034024532,-1.748297665,-2.488054894,-0.999991447
-0.57,-0.866,1.012951343,-1.76400057,-2.51433736,-0.99999142
-0.57,-0.866,0.991472768,-1.77914426,-2.540619825,-0.999991391
-0.57,-0.866,0.969603643,-1.793718275,-2.566902289,-0.999991357
-0.57,-0.866,0.947359074,-1.807712549,-2.593184752,-0.99999132
-0.57,-0.866,0.924754425,-1.821117415,-2.619467214,-0.99999128
-0.57,-0.866,0.901805312,-1.833923614,-2.645749675,-0.999991236
-0.57,-0.866,0.878527584,-1.8461223,-2.672032135,-0.999991188
-0.57,-0.866,0.854937321,-1.857705048,-2.698314593,-0.999991136
-0.57,-0.866,0.831050818,-1.868663857,-2.724597051,-0.999991081
-0.57,-0.866,0.806884572,-1.878991157,-2.750879506,-0.999991021
-0.57,-0.866,0.782455278,-1.888679816,-2.77716196,-0.999990958
-0.57,-0.866,0.757779807,-1.89772314,-2.803444412,-0.99999089
-0.57,-0.866,0.732875206,-1.906114885,-2.829726863,-0.999990818
-0.57,-0.866,0.707758675,-1.913849252,-2.856009311,-0.999990741
-0.57,-0.866,0.682447564,-1.9209209,-2.882291757,-0.99999066
-0.57,-0.866,0.656959356,-1.927324945,-2.908574201,-0.999990573
-0.57,-0.866,0.631311656,-1.933056963,-2.934856643,-0.999990482
-0.57,-0.866,0.60552218,-1.938112995,-2.961139083,-0.999990386
-0.57,-0.866,0.57960874,-1.942489548,-2.987421519,-0.999990285
-0.57,-0.866,0.553589237,-1.946183599,-3.013703953,-0.999990178
-0.57,-0.866,0.527481643,-1.949192598,-3.039986385,-0.999990065
-0.57,-0.866,0.501303991,-1.951514466,-3.066268813,-0.999989946
-0.57,-0.866,0.475074362,-1.953147599,-3.092551237,-0.999989822
-0.57,-0.866,0.448810874,-1.954090868,-3.118833659,-0.99998969
-0.57,-0.866,0.422531668,-1.954343624,-3.145116077,-0.999989552
-0.57,-0.866,0.396254896,-1.953905691,-3.171398491,-0.999989407
-0.57,-0.866,0.369998707,-1.952777371,-3.197680902,-0.999989254
-0.57,-0.866,0.343781238,-1.950959445,-3.223963308,-0.999989094
-0.57,-0.866,0.317620597,-1.948453168,-3.25024571,-0.999988925
-0.57,-0.866,0.291534855,-1.945260271,-3.276528107,-0.999988748
-0.57,-0.866,0.265542029,-1.94138296,-3.3028105,-0.999988562
-0.57,-0.866,0.239660073,-1.936823913,-3.329092887,-0.999988367
-0.57,-0.866,0.213906865,-1.93158628,-3.35537527,-0.999988161
-0.57,-0.866,0.188300192,-1.925673677,-3.381657646,-0.999987945
-0.57,-0.866,0.162857742,-1.91909019,-3.407940017,-0.999987718
