x_final,y_final,x,y,theta,input
-1.33,0.9836,0.0099995,1.00E-04,0.01,1
-1.33,0.9836,0.0199975,0.000299985,0.02,1
-1.33,0.9836,0.029993,0.00059994,0.03,1
-1.33,0.9836,0.039985001,0.000999833,0.04,1
-1.33,0.9836,0.049972504,0.001499625,0.05,1
-1.33,0.9836,0.059954509,0.002099265,0.06,1
-1.33,0.9836,0.069930019,0.002798694,0.07,1
-1.33,0.9836,0.079898037,0.003597841,0.08,1
-1.33,0.9836,0.089857564,0.004496626,0.09,1
-1.33,0.9836,0.099807606,0.00549496,0.1,1
-1.33,0.9836,0.109747167,0.006592743,0.11,1
-1.33,0.9836,0.119675253,0.007789865,0.12,1
-1.33,0.9836,0.129590872,0.009086207,0.13,1
-1.33,0.9836,0.139493032,0.010481638,0.14,1
-1.33,0.9836,0.149380743,0.011976019,0.15,1
-1.33,0.9836,0.159253015,0.013569201,0.16,1
-1.33,0.9836,0.169108863,0.015261025,0.17,1
-1.33,0.9836,0.1789473,0.01705132,0.18,1
-1.33,0.9836,0.188767342,0.018939909,0.19,1
-1.33,0.9836,0.198568008,0.020926603,0.2,1
-1.33,0.9836,0.208348317,0.023011202,0.21,1
-1.33,0.9836,0.218107292,0.025193498,0.22,1
-1.33,0.9836,0.227843956,0.027473273,0.23,1
-1.33,0.9836,0.237557335,0.029850299,0.24,1
-1.33,0.9836,0.24724646,0.032324339,0.25,1
-1.33,0.9836,0.256910359,0.034895145,0.26,1
-1.33,0.9836,0.266548068,0.037562459,0.27,1
-1.33,0.9836,0.276158623,0.040326015,0.28,1
-1.33,0.9836,0.285741062,0.043185538,0.29,1
-1.33,0.9836,0.295294426,0.04614074,0.3,1
-1.33,0.9836,0.304817762,0.049191326,0.31,1
-1.33,0.9836,0.314310116,0.052336992,0.32,1
-1.33,0.9836,0.32377054,0.055577422,0.33,1
-1.33,0.9836,0.333198086,0.058912293,0.34,1
-1.33,0.9836,0.342591814,0.062341271,0.35,1
-1.33,0.9836,0.351950782,0.065864013,0.36,1
-1.33,0.9836,0.361274055,0.069480168,0.37,1
-1.33,0.9836,0.370560702,0.073189372,0.38,1
-1.33,0.9836,0.379809792,0.076991256,0.39,1
-1.33,0.9836,0.389020402,0.08088544,0.4,1
-1.33,0.9836,0.39819161,0.084871533,0.41,1
-1.33,0.9836,0.4073225,0.088949138,0.42,1
-1.33,0.9836,0.416412157,0.093117846,0.43,1
-1.33,0.9836,0.425459674,0.09737724,0.44,1
