xP,yP,thetaP,inputP,xE,yE,thetaE,inputE
0,0,0,0.999944359,9,9,1.570796327,-0.999999677
0.126379073,0.008028484,0.126883502,0.999967432,9.002005944,9.063297104,1.507435669,-0.999999828
0.250726236,0.031984886,0.253767518,0.999952461,9.008015727,9.126340181,1.444075007,-0.99999979
0.371042305,0.071483905,0.380648749,0.99992353,9.018005229,9.188876227,1.380714348,-0.999999738
0.485393138,0.125889991,0.507523876,0.999856256,9.03193436,9.250654269,1.317353693,-0.999999664
0.591941238,0.194327231,0.634380971,0.999639313,9.049747219,9.311426377,1.253993044,-0.999999554
0.688978989,0.275690175,0.761139626,0.998304666,9.071372319,9.370948661,1.190632404,-0.99999938
0.777588032,0.366400967,0.833096963,0.135872151,9.096722872,9.428982242,1.127271778,-0.999999083
0.862884194,0.460344588,0.834115005,-0.119825991,9.12569714,9.485294221,1.063911181,-0.999998512
0.948174674,0.554293373,0.833217981,0.105687292,9.15817884,9.539658606,1.000550643,-0.999997193
1.033470152,0.648237623,0.834008623,-0.09322536,9.19403761,9.591857224,0.93719028,-0.999992981
1.118761236,0.742185866,0.833311578,0.082238674,9.233129514,9.641680616,0.87383088,-0.999966822
1.204056192,0.836130596,0.833926221,-0.072550792,9.274709744,9.68947399,0.835779653,-0.201132348
1.289347739,0.930078423,0.833384159,0.064006927,9.317203739,9.73647224,0.835594271,0.195280682
1.374642291,1.024023523,0.833862265,-0.056471118,9.359697795,9.783470434,0.835777053,-0.189511113
1.459934195,1.117971027,0.833440531,0.049823831,9.402191776,9.830468696,0.835597437,0.183841504
1.545228434,1.211916413,0.833812566,-0.043959893,9.444685846,9.877466878,0.835773302,-0.178290272
1.630520616,1.305863668,0.833484356,0.03878671,9.487179817,9.924465149,0.835601616,0.172870954
1.715814613,1.399809275,0.833773916,-0.03422272,9.529673892,9.971463327,0.835768906,-0.167590395
1.801107008,1.493756336,0.833518446,0.030196055,9.572167862,10.0184616,0.835606038,0.162449419
1.886400817,1.587702115,0.833743845,-0.026643364,9.614661935,10.06545978,0.835764559,-0.157445652
1.971693379,1.681649025,0.833544974,0.023508795,9.657155907,10.11245805,0.83561028,0.152575779
2.056987041,1.775594937,0.833720442,-0.020743097,9.699649977,10.15945623,0.835760423,-0.147836476
2.142279734,1.86954173,0.833565621,0.018302832,9.742143952,10.20645449,0.835614327,0.143224898
2.227573281,1.963487746,0.833702226,-0.016149689,9.78463802,10.25345268,0.835756452,-0.138738673
2.312866074,2.057434447,0.833581693,0.01424987,9.827131997,10.30045094,0.835618233,0.134375751
2.398159534,2.151380544,0.833688045,-0.012573563,9.869626063,10.34744912,0.835752605,-0.130134263
2.483452405,2.245327175,0.833594205,0.011094465,9.912120041,10.39444739,0.835622022,0.126012389
2.568745795,2.339273334,0.833677006,-0.009789371,9.954614106,10.44144557,0.835748874,-0.122008279
2.654038727,2.433219909,0.833603945,0.008637808,9.997108085,10.48844384,0.835625692,0.118120002
2.739332064,2.527166118,0.833668411,-0.007621712,10.03960215,10.53544202,0.835745269,-0.114345532
2.824625044,2.62111265,0.833611529,0.006725146,10.08209613,10.58244028,0.83562923,0.110682739
2.909918338,2.715058896,0.83366172,-0.005934048,10.12459019,10.62943847,0.835741801,-0.107129397
